ENSG00000185519,8,FAM131C
ENSG00000142627,9,EPHA2
ENSG00000227959,1,RP11-276H7.2
ENSG00000224621,1,RP11-276H7.3
ENSG00000234166,1,ARHGEF19-AS1
ENSG00000142632,10,ARHGEF19
ENSG00000237276,3,ANO7L1
ENSG00000132881,5,RSG1
ENSG00000204377,2,C1orf134
ENSG00000233929,1,MT1XP1
ENSG00000037637,6,FBXO42
ENSG00000055070,11,C1orf144
ENSG00000226457,1,RP11-430L17.1
ENSG00000187144,7,SPATA21
ENSG00000157191,13,NECAP2
ENSG00000226029,1,RP4-798A10.2
ENSG00000080947,9,CROCCP3
ENSG00000206652,1,RNU1-1
ENSG00000261135,1,RP4-798A10.7
ENSG00000224174,1,RP4-798A10.4
ENSG00000241374,1,RP4-798A10.5
ENSG00000233421,2,RP5-875O13.1
ENSG00000252099,1,U1
ENSG00000197511,2,AL355149.1
ENSG00000241971,1,TRNAG36
ENSG00000225710,1,RP5-875O13.6
ENSG00000240653,1,AL355149.2
ENSG00000219481,3,NBPF1
ENSG00000215908,4,CROCCP2
ENSG00000186301,5,MST1P2
ENSG00000207513,1,RNU1-3
ENSG00000237847,2,AL137798.1
ENSG00000239644,2,RP1-163M9.6
ENSG00000236698,1,EIF1AP1
ENSG00000116219,9,ESPNP
ENSG00000243784,1,TRNAV36P
ENSG00000207389,1,RNU1-4
ENSG00000227684,1,RP1-163M9.5
ENSG00000186715,5,MST1P9
ENSG00000223643,1,RP11-108M9.1
ENSG00000243266,1,TRNAL48
ENSG00000230239,1,RP11-108M9.2
ENSG00000239505,1,TRNAV34P
ENSG00000196690,2,BX284668.1
ENSG00000228549,1,RP11-108M9.3
ENSG00000199554,1,U1
ENSG00000238142,1,RP11-108M9.4
ENSG00000235241,1,RP11-108M9.5
ENSG00000058453,11,CROCC
ENSG00000207005,1,RNU1-2
ENSG00000117122,9,MFAP2
ENSG00000226526,1,RP1-37C10.3
ENSG00000159363,13,ATP13A2
ENSG00000117118,5,SDHB
ENSG00000117115,8,PADI2
ENSG00000252180,1,Y_RNA
ENSG00000204362,4,RP11-380J14.1
ENSG00000142623,8,PADI1
ENSG00000142619,4,PADI3
ENSG00000159339,8,PADI4
ENSG00000256049,2,PADI6
ENSG00000227751,1,RP1-20B21.4
ENSG00000179051,9,RCC2
ENSG00000239020,1,snoU13
ENSG00000074964,11,ARHGEF10L
ENSG00000236648,1,RP11-473A10.2
ENSG00000117148,6,ACTL8
ENSG00000261781,1,RP11-174G17.2
ENSG00000117154,6,IGSF21
ENSG00000230035,1,RP11-174G17
ENSG00000225387,1,RP11-422P22.1
ENSG00000179023,6,KLHDC7A
ENSG00000235282,1,RP1-8B22.1
ENSG00000225478,1,RP1-8B22.2
ENSG00000009709,7,PAX7
ENSG00000179002,5,TAS1R2
ENSG00000255275,2,RP13-279N23.2
ENSG00000159423,11,ALDH4A1
ENSG00000221662,1,MIR1290
ENSG00000169991,5,IFFO2
ENSG00000127481,9,UBR4
ENSG00000230424,1,RP1-43E13.2
ENSG00000127463,8,KIAA0090
ENSG00000053372,4,MRTO4
ENSG00000211454,8,AKR7L
